Phases,EulerAngles_0,EulerAngles_1,EulerAngles_2
1,3.6465676,1.4913477,1.5586219
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,1.3803614,1.7333564,5.6254644
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.5378075,1.7091794,4.5541458
1,5.9474869,1.9299127,2.2786288
1,5.9474869,1.9299127,2.2786288
1,5.9474869,1.9299127,2.2786288
